conflict_country,iso3c,med_loc_x,med_loc_y,latitude_con,longitude_con,dist_mediation_conflict,mediation_count,agreements_sum
Libya,LBY,10.1817,36.8064,27.016716392720838,18.06679321821868,1315.8439669126549,13,1
Libya,LBY,12.0167,31.95,27.016716392720838,18.06679321821868,801.748411063501,1,0
Libya,LBY,12.4828,41.8933,27.016716392720838,18.06679321821868,1727.173838456169,2,0
Libya,LBY,13.6333,32.4353,27.016716392720838,18.06679321821868,737.8793554584507,1,0
Libya,LBY,13.9833,31.75,27.016716392720838,18.06679321821868,657.4267982147262,2,0
Libya,LBY,14.4283,27.035,27.016716392720838,18.06679321821868,361.0487557880111,2,0
Libya,LBY,15,-1,27.016716392720838,18.06679321821868,3117.446104042701,1,0
Libya,LBY,15.05,12.11,27.016716392720838,18.06679321821868,1680.0851112123717,1,0
Libya,LBY,15.092,32.3775,27.016716392720838,18.06679321821868,660.2041102990207,1,0
Libya,LBY,15.2711,-4.2694,27.016716392720838,18.06679321821868,3474.626137444862,2,0
Libya,LBY,16.5887,31.2089,27.016716392720838,18.06679321821868,486.39683147979883,2,0
Libya,LBY,16.8667,41.1253,27.016716392720838,18.06679321821868,1568.8746304488893,1,0
Libya,LBY,17,25,27.016716392720838,18.06679321821868,247.63647752840689,12,0
Libya,LBY,2.1175,13.515,27.016716392720838,18.06679321821868,2233.9287068063,2,0
Libya,LBY,2.3522,48.8567,27.016716392720838,18.06679321821868,2777.5377037324274,2,0
Libya,LBY,20.0667,32.1167,27.016716392720838,18.06679321821868,597.564475082316,27,1
Libya,LBY,22.24,32.76,27.016716392720838,18.06679321821868,753.3447802245854,1,0
Libya,LBY,28.6694,30.8917,27.016716392720838,18.06679321821868,1118.5743982192914,1,0
